Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-2003,Mamadou N'Diaye\ndiayma02,C,27,TOR,22,8,364,43,96,0.448,0,0,,43,96,0.448,0.448,34,47,0.723,29,53,82,7,8,32,21,58,120
2002-2003,Bostjan Nachbar\nachbbo01,SF,22,HOU,14,1,77,11,31,0.355,2,10,0.2,9,21,0.429,0.387,5,10,0.5,3,8,11,3,2,2,6,13,29
2002-2003,Lee Nailon\nailole01,SF,27,NYK,38,0,405,84,190,0.442,0,1,0,84,189,0.444,0.442,42,51,0.824,32,38,70,26,6,3,32,46,210
2002-2003,Eduardo Najera\najered01,SF,26,DAL,48,12,1103,129,231,0.558,0,1,0,129,230,0.561,0.558,62,91,0.681,90,133,223,47,40,22,23,129,320
2002-2003,Steve Nash\nashst01,PG,28,DAL,82,82,2711,518,1114,0.465,111,269,0.413,407,845,0.482,0.515,308,339,0.909,63,171,234,598,85,6,192,134,1455
2002-2003,Rasho Nesterovic\nestera01,C,26,MIN,77,77,2337,400,762,0.525,0,2,0,400,760,0.526,0.525,61,95,0.642,146,358,504,114,39,116,99,256,861
2002-2003,Ira Newble\newblir01,SF,28,ATL,73,45,1931,231,467,0.495,32,84,0.381,199,383,0.52,0.529,70,90,0.778,86,185,271,99,50,26,69,174,564
2002-2003,Moochie Norris\norrimo01,PG,29,HOU,82,3,1375,134,330,0.406,11,45,0.244,123,285,0.432,0.423,78,114,0.684,37,122,159,196,55,4,86,72,357
2002-2003,Dirk Nowitzki\nowitdi01,PF,24,DAL,80,80,3117,690,1489,0.463,148,390,0.379,542,1099,0.493,0.513,483,548,0.881,81,710,791,239,111,82,152,206,2011
2002-2003,Jermaine O'Neal\onealje01,PF,24,IND,77,76,2864,610,1260,0.484,7,21,0.333,603,1239,0.487,0.487,373,510,0.731,202,594,796,155,66,178,180,277,1600
2002-2003,Shaquille O'Neal*\onealsh01,C,30,LAL,67,66,2535,695,1211,0.574,0,0,,695,1211,0.574,0.574,451,725,0.622,259,483,742,206,38,159,196,229,1841
2002-2003,Charles Oakley\oaklech01,C,39,WAS,42,1,514,23,55,0.418,0,0,,23,55,0.418,0.418,28,34,0.824,37,70,107,40,13,6,21,90,74
2002-2003,Lamar Odom\odomla01,SF,23,LAC,49,47,1679,268,611,0.439,42,129,0.326,226,482,0.469,0.473,136,175,0.777,59,267,326,178,42,41,140,181,714
2002-2003,Mehmet Okur\okurme01,PF,23,DET,72,9,1366,180,423,0.426,38,112,0.339,142,311,0.457,0.47,96,131,0.733,117,218,335,71,25,39,66,167,494
2002-2003,Dean Oliver\olivede01,PG,24,GSW,15,0,93,7,29,0.241,1,6,0.167,6,23,0.261,0.259,7,8,0.875,8,8,16,23,7,0,10,9,22
2002-2003,Kevin Ollie\ollieke01,PG,30,TOT,82,5,1897,199,441,0.451,2,6,0.333,197,435,0.453,0.454,134,178,0.753,25,157,182,291,69,5,72,122,534
2002-2003,Kevin Ollie\ollieke01,PG,30,MIL,53,4,1127,117,255,0.459,1,5,0.2,116,250,0.464,0.461,68,91,0.747,12,87,99,181,37,4,36,71,303
2002-2003,Kevin Ollie\ollieke01,PG,30,SEA,29,1,770,82,186,0.441,1,1,1,81,185,0.438,0.444,66,87,0.759,13,70,83,110,32,1,36,51,231
2002-2003,Michael Olowokandi\olowomi01,C,27,LAC,36,36,1369,186,436,0.427,0,0,,186,436,0.427,0.427,69,105,0.657,57,271,328,47,18,79,98,110,441
2002-2003,Greg Ostertag\ostergr01,C,29,UTA,81,74,1926,169,326,0.518,0,0,,169,326,0.518,0.518,100,196,0.51,180,323,503,55,20,147,104,235,438
2002-2003,Bo Outlaw\outlabo01,C,31,PHO,80,20,1800,153,278,0.55,0,2,0,153,276,0.554,0.55,72,116,0.621,134,234,368,112,50,71,76,194,378
2002-2003,Chris Owens\owensch01,SF,23,MEM,1,0,6,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,0,1,0,0,0,1,0,4
2002-2003,Olumide Oyedeji\oyedeol01,C,21,ORL,27,3,145,10,23,0.435,0,0,,10,23,0.435,0.435,7,11,0.636,10,40,50,5,5,3,5,30,27
2002-2003,Robert Pack\packro01,PG,33,NOH,28,4,440,52,129,0.403,0,5,0,52,124,0.419,0.403,41,55,0.745,11,40,51,81,25,0,40,35,145
2002-2003,Scott Padgett\padgesc01,PF,26,UTA,82,2,1321,170,423,0.402,45,133,0.338,125,290,0.431,0.455,81,107,0.757,83,189,272,86,41,24,70,148,466
2002-2003,Milt Palacio\palacmi01,PG,24,CLE,80,46,1976,162,388,0.418,8,37,0.216,154,351,0.439,0.428,65,87,0.747,48,187,235,259,68,16,131,168,397
2002-2003,Jannero Pargo\pargoja01,PG,23,LAL,34,0,342,37,93,0.398,7,24,0.292,30,69,0.435,0.435,4,4,1,9,28,37,39,13,2,23,45,85
2002-2003,Smush Parker\parkesm01,PG,21,CLE,66,18,1103,136,338,0.402,38,118,0.322,98,220,0.445,0.459,98,118,0.831,29,90,119,162,48,12,133,106,408
2002-2003,Tony Parker\parketo01,PG,20,SAS,82,82,2774,484,1043,0.464,82,243,0.337,402,800,0.503,0.503,219,290,0.755,33,183,216,432,71,4,198,174,1269
2002-2003,Cherokee Parks\parksch02,PF,30,LAC,30,18,648,82,163,0.503,1,2,0.5,81,161,0.503,0.506,23,38,0.605,46,86,132,21,16,20,18,52,188
2002-2003,Ruben Patterson\patteru01,SF,27,POR,78,17,1655,254,516,0.492,3,20,0.15,251,496,0.506,0.495,138,220,0.627,120,144,264,101,73,29,117,161,649
2002-2003,Gary Payton*\paytoga01,PG,34,TOT,80,80,3208,665,1466,0.454,54,182,0.297,611,1284,0.476,0.472,250,352,0.71,79,255,334,663,133,20,187,181,1634
2002-2003,Gary Payton*\paytoga01,PG,34,SEA,52,52,2123,444,992,0.448,34,114,0.298,410,878,0.467,0.465,162,234,0.692,56,192,248,457,93,12,131,117,1084
2002-2003,Gary Payton*\paytoga01,PG,34,MIL,28,28,1085,221,474,0.466,20,68,0.294,201,406,0.495,0.487,88,118,0.746,23,63,86,206,40,8,56,64,550
2002-2003,Anthony Peeler\peelean01,SG,33,MIN,82,39,2245,252,609,0.414,87,212,0.41,165,397,0.416,0.485,39,50,0.78,40,201,241,244,72,13,82,161,630
2002-2003,Wesley Person\persowe01,SG,31,MEM,66,44,1941,274,601,0.456,100,231,0.433,174,370,0.47,0.539,79,97,0.814,24,168,192,112,42,19,56,64,727
2002-2003,Morris Peterson\petermo01,SF,25,TOR,82,80,2949,421,1073,0.392,116,344,0.337,305,729,0.418,0.446,195,247,0.789,97,266,363,188,88,32,128,232,1153
2002-2003,Eric Piatkowski\piatker01,SG,32,LAC,62,26,1360,210,446,0.471,80,201,0.398,130,245,0.531,0.561,101,122,0.828,44,112,156,70,33,9,56,92,601
2002-2003,Paul Pierce\piercpa01,SG,25,BOS,79,79,3096,663,1592,0.416,118,391,0.302,545,1201,0.454,0.454,604,753,0.802,106,472,578,349,139,62,288,227,2048
2002-2003,Scottie Pippen*\pippesc01,SF,37,POR,64,58,1911,265,597,0.444,38,133,0.286,227,464,0.489,0.476,121,148,0.818,57,221,278,285,105,25,164,149,689
2002-2003,Scot Pollard\pollasc01,C,27,SAC,23,0,325,40,87,0.46,0,0,,40,87,0.46,0.46,23,38,0.605,46,60,106,6,13,15,15,50,103
2002-2003,James Posey\poseyja01,SF,26,TOT,83,71,2518,309,752,0.411,70,229,0.306,239,523,0.457,0.457,205,246,0.833,90,336,426,184,106,15,144,197,893
2002-2003,James Posey\poseyja01,SF,26,DEN,25,24,872,121,324,0.373,24,88,0.273,97,236,0.411,0.41,86,102,0.843,38,107,145,78,29,6,66,63,352
2002-2003,James Posey\poseyja01,SF,26,HOU,58,47,1646,188,428,0.439,46,141,0.326,142,287,0.495,0.493,119,144,0.826,52,229,281,106,77,9,78,134,541
2002-2003,Lavor Postell\postela01,SG,24,NYK,12,0,98,14,38,0.368,2,7,0.286,12,31,0.387,0.395,13,15,0.867,1,3,4,3,2,0,7,9,43
2002-2003,Vitaly Potapenko\potapvi01,C,27,SEA,26,2,403,41,93,0.441,0,0,,41,93,0.441,0.441,22,29,0.759,25,64,89,4,9,8,25,46,104
2002-2003,Tayshaun Prince\princta01,SF,22,DET,42,5,435,53,118,0.449,20,47,0.426,33,71,0.465,0.534,11,17,0.647,5,40,45,24,10,14,21,25,137
2002-2003,Joel Przybilla\przybjo01,C,23,MIL,32,17,546,18,46,0.391,0,0,,18,46,0.391,0.391,12,24,0.5,48,97,145,12,10,45,19,85,48
2002-2003,Vladimir Radmanovic\radmavl01,PF,22,SEA,72,16,1910,274,668,0.41,104,293,0.355,170,375,0.453,0.488,72,102,0.706,76,247,323,97,64,22,100,136,724
2002-2003,Igor Rakocevic\rakocig01,PG,24,MIN,42,0,244,22,58,0.379,5,12,0.417,17,46,0.37,0.422,29,36,0.806,4,13,17,33,4,0,23,25,78
2002-2003,Zach Randolph\randoza01,PF,21,POR,77,11,1301,264,515,0.513,0,5,0,264,510,0.518,0.513,122,161,0.758,139,204,343,41,42,14,62,141,650
2002-2003,Theo Ratliff\ratlith01,C,29,ATL,81,81,2518,276,595,0.464,0,0,,276,595,0.464,0.464,154,214,0.72,154,453,607,73,56,262,137,271,706
2002-2003,Zeljko Rebraca\rebraze01,C,30,DET,30,12,488,80,145,0.552,0,0,,80,145,0.552,0.552,38,48,0.792,27,65,92,9,6,17,29,79,198
2002-2003,Michael Redd\reddmi01,SG,23,MIL,82,14,2316,455,971,0.469,182,416,0.438,273,555,0.492,0.562,149,185,0.805,98,273,371,117,100,13,74,143,1241
2002-2003,Don Reid\reiddo01,PF,29,DET,1,0,10,0,3,0,0,0,,0,3,0,0,1,2,0.5,0,0,0,0,0,0,0,4,1
2002-2003,Efthimi Rentzias\rentzef01,C,27,PHI,35,0,144,20,59,0.339,4,8,0.5,16,51,0.314,0.373,8,9,0.889,10,16,26,7,6,2,4,21,52
2002-2003,Glen Rice\ricegl01,SF,35,HOU,62,26,1532,196,457,0.429,101,254,0.398,95,203,0.468,0.539,63,83,0.759,28,126,154,65,23,5,55,99,556
2002-2003,Jason Richardson\richaja01,SG,22,GSW,82,82,2698,476,1161,0.41,123,334,0.368,353,827,0.427,0.463,207,271,0.764,111,267,378,247,90,23,179,201,1282
2002-2003,Quentin Richardson\richaqu01,SG,22,LAC,59,13,1368,203,546,0.372,61,198,0.308,142,348,0.408,0.428,85,124,0.685,98,183,281,52,35,10,64,92,552
2002-2003,Antoine Rigaudeau\rigauan01,SG,31,DAL,11,0,91,8,35,0.229,1,5,0.2,7,30,0.233,0.243,0,0,,4,4,8,6,3,0,6,11,17
2002-2003,Clifford Robinson\robincl02,PF,36,DET,81,69,2825,372,935,0.398,87,259,0.336,285,676,0.422,0.444,161,238,0.676,81,237,318,268,87,88,158,259,992
2002-2003,David Robinson*\robinda01,C,37,SAS,64,64,1676,197,420,0.469,0,0,,197,420,0.469,0.469,152,214,0.71,163,345,508,61,52,111,83,126,546
2002-2003,Eddie Robinson\robined01,SF,26,CHI,64,18,1355,155,315,0.492,3,14,0.214,152,301,0.505,0.497,51,63,0.81,76,124,200,66,62,13,52,120,364
2002-2003,Glenn Robinson\robingl01,SF,30,ATL,69,68,2591,539,1248,0.432,90,263,0.342,449,985,0.456,0.468,268,306,0.876,86,371,457,205,91,26,248,183,1436
2002-2003,Rodney Rogers\rogerro01,PF,31,NJN,68,0,1303,183,455,0.402,44,132,0.333,139,323,0.43,0.451,68,90,0.756,61,202,263,107,50,31,91,192,478
2002-2003,Sean Rooks\rooksse01,C,33,LAC,70,38,1344,125,297,0.421,0,1,0,125,296,0.422,0.421,47,58,0.81,53,163,216,69,34,44,66,174,297
2002-2003,Jalen Rose\roseja01,SF,30,CHI,82,82,3351,642,1583,0.406,133,359,0.37,509,1224,0.416,0.448,399,467,0.854,68,283,351,395,72,23,285,271,1816
2002-2003,Malik Rose\rosema01,PF,28,SAS,79,13,1933,289,630,0.459,2,5,0.4,287,625,0.459,0.46,242,306,0.791,148,358,506,124,57,40,170,206,822
2002-2003,Guy Rucker\ruckegu01,PF,25,GSW,3,0,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,1,0
2002-2003,Kareem Rush\rushka01,PG,22,LAL,76,0,872,96,244,0.393,19,68,0.279,77,176,0.438,0.432,16,23,0.696,26,68,94,68,10,11,63,71,227
2002-2003,Bryon Russell\russebr01,SF,32,WAS,70,23,1388,108,306,0.353,46,140,0.329,62,166,0.373,0.428,53,69,0.768,43,165,208,72,70,7,55,130,315
2002-2003,Arvydas Sabonis*\sabonar01,C,38,POR,78,1,1209,172,361,0.476,3,6,0.5,169,355,0.476,0.481,129,164,0.787,88,247,335,142,61,49,75,141,476
2002-2003,John Salmons\salmojo01,PG,23,PHI,64,1,504,48,116,0.414,10,31,0.323,38,85,0.447,0.457,26,35,0.743,16,43,59,47,17,6,29,53,132
2002-2003,Soumaila Samake\samakso01,C,24,LAL,13,1,77,10,24,0.417,0,0,,10,24,0.417,0.417,2,2,1,10,13,23,4,0,5,2,13,22
2002-2003,Jamal Sampson\sampsja01,PF,19,MIL,5,0,8,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,1,1,0,0,0,0
2002-2003,Pepe Sanchez\sanchpe01,PG,25,DET,9,0,37,0,5,0,0,0,,0,5,0,0,0,0,,4,2,6,8,5,0,2,3,0
2002-2003,Jeryl Sasser\sasseje01,SG,23,ORL,75,4,1025,64,207,0.309,13,44,0.295,51,163,0.313,0.341,53,78,0.679,64,120,184,65,45,12,39,91,194
2002-2003,Kenny Satterfield\satteke01,PG,21,TOT,39,6,502,55,183,0.301,5,28,0.179,50,155,0.323,0.314,17,25,0.68,16,27,43,68,20,2,43,36,132
2002-2003,Kenny Satterfield\satteke01,PG,21,DEN,22,6,420,51,165,0.309,5,28,0.179,46,137,0.336,0.324,16,23,0.696,12,23,35,53,18,2,36,30,123
2002-2003,Kenny Satterfield\satteke01,PG,21,PHI,17,0,82,4,18,0.222,0,0,,4,18,0.222,0.222,1,2,0.5,4,4,8,15,2,0,7,6,9
2002-2003,Predrag Savovic\savovpr01,SG,26,DEN,27,0,256,29,93,0.312,4,26,0.154,25,67,0.373,0.333,21,29,0.724,9,16,25,22,14,1,21,33,83
2002-2003,Brian Scalabrine\scalabr01,PF,24,NJN,59,7,724,68,169,0.402,14,39,0.359,54,130,0.415,0.444,30,36,0.833,40,101,141,46,16,18,46,77,180
2002-2003,Ansu Sesay\sesayan01,SF,26,SEA,45,4,448,41,107,0.383,0,0,,41,107,0.383,0.383,12,21,0.571,34,39,73,23,14,5,25,62,94
2002-2003,Brian Shaw\shawbr01,PG,36,LAL,72,0,900,101,261,0.387,38,109,0.349,63,152,0.414,0.46,10,15,0.667,20,99,119,103,32,13,54,62,250
2002-2003,Paul Shirley\shirlpa01,PF,25,ATL,2,0,5,0,4,0,0,0,,0,4,0,0,0,0,,0,1,1,0,0,0,0,0,0
2002-2003,Bobby Simmons\simmobo01,SG,22,WAS,36,2,378,44,112,0.393,0,5,0,44,107,0.411,0.393,32,35,0.914,33,44,77,20,10,3,8,51,120
2002-2003,Brian Skinner\skinnbr01,PF,26,PHI,77,9,1381,182,331,0.55,0,0,,182,331,0.55,0.55,97,161,0.602,136,230,366,19,47,53,62,176,461
2002-2003,Reggie Slater\slatere01,PF,32,MIN,26,0,141,27,50,0.54,0,0,,27,50,0.54,0.54,27,45,0.6,18,13,31,4,6,1,9,31,81
2002-2003,Tamar Slay\slayta01,SG,22,NJN,36,0,274,39,103,0.379,7,25,0.28,32,78,0.41,0.413,7,10,0.7,8,23,31,14,14,3,20,31,92
2002-2003,Charles Smith\smithch04,SG,27,POR,3,0,13,1,4,0.25,0,1,0,1,3,0.333,0.25,3,4,0.75,0,0,0,1,1,0,1,3,5
2002-2003,Joe Smith\smithjo02,SF,27,MIN,54,21,1117,151,328,0.46,0,2,0,151,326,0.463,0.46,102,131,0.779,111,159,270,38,14,55,43,171,404
2002-2003,Steve Smith\smithst01,SG,33,SAS,53,18,1032,113,291,0.388,39,118,0.331,74,173,0.428,0.455,95,114,0.833,21,78,99,70,28,9,43,79,360
2002-2003,Eric Snow\snower01,PG,29,PHI,82,82,3108,361,799,0.452,7,32,0.219,354,767,0.462,0.456,325,379,0.858,71,230,301,544,133,11,194,235,1054
2002-2003,Latrell Sprewell\sprewla01,SF,32,NYK,74,73,2859,454,1127,0.403,134,360,0.372,320,767,0.417,0.462,173,218,0.794,45,240,285,332,102,22,172,134,1215
2002-2003,Jerry Stackhouse\stackje01,SG,28,WAS,70,70,2747,491,1201,0.409,71,245,0.29,420,956,0.439,0.438,455,518,0.878,61,197,258,316,65,28,193,130,1508
2002-2003,Vladimir Stepania\stepavl01,C,26,MIA,79,6,1594,185,427,0.433,0,0,,185,427,0.433,0.433,71,134,0.53,211,343,554,24,45,40,69,169,441
2002-2003,DeShawn Stevenson\stevede01,SG,21,UTA,61,8,760,114,284,0.401,4,12,0.333,110,272,0.404,0.408,47,68,0.691,22,63,85,40,22,8,49,57,279
2002-2003,Michael Stewart\stewami01,PF,27,CLE,47,0,251,14,37,0.378,0,0,,14,37,0.378,0.378,8,12,0.667,19,36,55,6,2,15,10,42,36
2002-2003,John Stockton*\stockjo01,PG,40,UTA,82,82,2275,309,640,0.483,29,80,0.363,280,560,0.5,0.505,237,287,0.826,51,150,201,629,137,16,182,184,884
2002-2003,Peja Stojakovic\stojape01,SF,25,SAC,72,72,2450,497,1034,0.481,155,406,0.382,342,628,0.545,0.556,231,264,0.875,61,336,397,141,72,5,101,143,1380
2002-2003,Damon Stoudamire\stoudda01,PG,29,POR,59,27,1315,156,415,0.376,44,114,0.386,112,301,0.372,0.429,53,67,0.791,40,115,155,204,39,6,82,67,409
2002-2003,Amar'e Stoudemire\stoudam01,PF,20,PHO,82,71,2570,392,830,0.472,2,10,0.2,390,820,0.476,0.473,320,484,0.661,250,471,721,78,62,87,189,269,1106
2002-2003,Erick Strickland\stricer01,SG,29,IND,71,10,1275,163,380,0.429,62,160,0.388,101,220,0.459,0.511,70,87,0.805,23,122,145,209,38,7,98,111,458
2002-2003,Mark Strickland\stricma01,SF,32,DAL,4,0,13,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,5,2,7,0,0,0,1,1,4
2002-2003,Rod Strickland\stricro02,PG,36,MIN,47,8,956,120,278,0.432,1,11,0.091,119,267,0.446,0.433,79,107,0.738,20,75,95,215,46,6,76,55,320
2002-2003,Bruno Sundov\sundobr01,C,22,BOS,26,0,138,14,56,0.25,4,16,0.25,10,40,0.25,0.286,0,2,0,8,20,28,7,6,3,9,24,32
2002-2003,Bob Sura\surabo01,SG,29,GSW,55,0,1130,135,328,0.412,28,85,0.329,107,243,0.44,0.454,103,148,0.696,58,109,167,177,45,2,82,108,401
2002-2003,Stromile Swift\swiftst01,PF,23,MEM,67,26,1478,235,489,0.481,0,2,0,235,487,0.483,0.481,177,245,0.722,114,270,384,45,55,104,99,152,647
2002-2003,Wally Szczerbiak\szczewa02,SF,25,MIN,52,42,1836,351,729,0.481,61,145,0.421,290,584,0.497,0.523,150,173,0.867,53,188,241,136,44,22,87,123,913
2002-2003,Maurice Taylor\tayloma01,PF,26,HOU,67,9,1377,231,535,0.432,0,2,0,231,533,0.433,0.432,100,138,0.725,95,143,238,66,22,22,100,151,562
2002-2003,Jason Terry\terryja01,PG,25,ATL,81,81,3081,488,1141,0.428,160,431,0.371,328,710,0.462,0.498,259,292,0.887,37,242,279,600,126,14,249,175,1395
2002-2003,Etan Thomas\thomaet01,PF,24,WAS,38,0,513,61,124,0.492,0,0,,61,124,0.492,0.492,60,94,0.638,70,95,165,3,8,23,33,66,182
2002-2003,Kenny Thomas\thomake01,PF,25,TOT,66,42,1978,260,559,0.465,0,0,,260,559,0.465,0.465,147,197,0.746,185,344,529,112,62,28,116,169,667
2002-2003,Kenny Thomas\thomake01,PF,25,HOU,20,14,586,82,190,0.432,0,0,,82,190,0.432,0.432,33,45,0.733,45,92,137,39,16,6,40,49,197
2002-2003,Kenny Thomas\thomake01,PF,25,PHI,46,28,1392,178,369,0.482,0,0,,178,369,0.482,0.482,114,152,0.75,140,252,392,73,46,22,76,120,470
2002-2003,Kurt Thomas\thomaku01,C,30,NYK,81,81,2577,497,1028,0.483,2,3,0.667,495,1025,0.483,0.484,138,184,0.75,160,477,637,162,81,97,138,344,1134
2002-2003,Tim Thomas\thomati01,SF,25,MIL,80,70,2358,412,930,0.443,97,265,0.366,315,665,0.474,0.495,145,186,0.78,97,292,389,102,70,49,133,257,1066
2002-2003,Jamaal Tinsley\tinslja01,PG,24,IND,73,69,2237,220,556,0.396,46,166,0.277,174,390,0.446,0.437,80,112,0.714,58,202,260,548,125,18,192,201,566
2002-2003,Oscar Torres\torreos01,SG,26,GSW,17,0,109,16,36,0.444,7,13,0.538,9,23,0.391,0.542,14,20,0.7,3,9,12,3,4,2,8,9,53
2002-2003,Robert Traylor\traylro01,C,25,NOH,69,0,851,105,237,0.443,1,3,0.333,104,234,0.444,0.445,57,88,0.648,108,154,262,50,45,37,53,153,268
2002-2003,Gary Trent\trentga01,SF,28,MIN,80,22,1222,208,389,0.535,0,2,0,208,387,0.537,0.535,60,101,0.594,106,185,291,77,32,23,59,142,476
2002-2003,Jeff Trepagnier\trepaje01,SG,23,DEN,8,0,97,17,40,0.425,4,8,0.5,13,32,0.406,0.475,7,7,1,8,8,16,6,8,0,8,5,45
2002-2003,Cezary Trybanski\trybace01,C,23,MEM,15,0,86,5,20,0.25,0,0,,5,20,0.25,0.25,4,10,0.4,6,8,14,1,0,6,8,13,14
2002-2003,Jake Tsakalidis\tsakaja01,C,23,PHO,33,27,543,61,135,0.452,0,0,,61,135,0.452,0.452,39,58,0.672,45,77,122,13,6,17,26,80,161
2002-2003,Nikoloz Tskitishvili\tskitni01,SF,19,DEN,81,16,1320,115,393,0.293,37,152,0.243,78,241,0.324,0.34,48,65,0.738,64,117,181,91,31,29,84,136,315
2002-2003,Hedo Turkoglu\turkohe01,SF,23,SAC,67,11,1175,165,391,0.422,29,78,0.372,136,313,0.435,0.459,88,110,0.8,35,153,188,87,25,12,50,125,447
2002-2003,Nick Van Exel\vanexni01,SG,31,DAL,73,1,2026,342,831,0.412,118,312,0.378,224,519,0.432,0.483,110,144,0.764,35,173,208,312,42,4,123,86,912
2002-2003,Keith Van Horn\vanhoke01,PF,27,PHI,74,73,2337,459,952,0.482,65,176,0.369,394,776,0.508,0.516,193,240,0.804,159,365,524,93,63,30,150,251,1176
2002-2003,Jacque Vaughn\vaughja01,PG,27,ORL,80,48,1686,184,411,0.448,8,34,0.235,176,377,0.467,0.457,97,125,0.776,26,92,118,232,64,2,97,169,473
2002-2003,Jake Voskuhl\voskuja01,C,25,PHO,65,1,947,92,163,0.564,0,0,,92,163,0.564,0.564,64,96,0.667,97,128,225,36,18,29,48,172,248
2002-2003,Dajuan Wagner\wagneda02,SG,19,CLE,47,24,1385,223,605,0.369,55,174,0.316,168,431,0.39,0.414,128,160,0.8,20,62,82,130,38,7,85,107,629
2002-2003,Antoine Walker\walkean02,PF,26,BOS,78,78,3235,603,1554,0.388,188,582,0.323,415,972,0.427,0.449,176,286,0.615,99,464,563,373,116,31,260,221,1570
2002-2003,Samaki Walker\walkesa01,C,26,LAL,67,39,1243,115,274,0.42,0,1,0,115,273,0.421,0.42,66,101,0.653,115,253,368,64,20,55,56,143,296
2002-2003,Ben Wallace\wallabe01,C,28,DET,73,73,2873,210,437,0.481,1,6,0.167,209,431,0.485,0.482,85,189,0.45,293,833,1126,120,104,230,88,179,506
2002-2003,Gerald Wallace\wallage01,SF,20,SAC,47,7,571,90,183,0.492,1,4,0.25,89,179,0.497,0.495,39,74,0.527,38,90,128,23,24,15,44,68,220
2002-2003,Rasheed Wallace\wallara01,PF,28,POR,74,74,2684,515,1094,0.471,110,307,0.358,405,787,0.515,0.521,200,272,0.735,113,435,548,153,70,77,140,223,1340
2002-2003,Charlie Ward\wardch01,PG,32,NYK,66,6,1465,165,414,0.399,101,267,0.378,64,147,0.435,0.521,41,53,0.774,25,152,177,306,78,11,95,146,472
2002-2003,Earl Watson\watsoea01,PG,23,MEM,79,2,1366,170,391,0.435,31,91,0.341,139,300,0.463,0.474,62,86,0.721,46,118,164,225,89,14,88,138,433
2002-2003,Clarence Weatherspoon\weathcl01,PF,32,NYK,79,19,2024,186,414,0.449,0,0,,186,414,0.449,0.449,149,194,0.768,214,385,599,68,69,36,63,174,521
2002-2003,Chris Webber\webbech01,PF,29,SAC,67,67,2622,661,1433,0.461,5,21,0.238,656,1412,0.465,0.463,215,354,0.607,160,544,704,364,106,88,215,204,1542
2002-2003,Bonzi Wells\wellsbo01,SG,26,POR,75,65,2396,437,990,0.441,38,130,0.292,399,860,0.464,0.461,226,313,0.722,98,296,394,246,123,18,215,220,1138
2002-2003,Jiri Welsch\welscji01,SF,23,GSW,37,0,234,19,75,0.253,1,4,0.25,18,71,0.254,0.26,22,29,0.759,12,16,28,27,8,2,19,32,61
2002-2003,David Wesley\wesleda01,SG,32,NOH,73,73,2710,449,1037,0.433,134,316,0.424,315,721,0.437,0.498,185,237,0.781,38,137,175,251,109,9,132,173,1217
2002-2003,Jahidi White\whiteja01,C,26,WAS,16,8,230,25,53,0.472,0,0,,25,53,0.472,0.472,17,25,0.68,37,36,73,2,1,12,9,33,67
2002-2003,Rodney White\whitero02,SG,22,DEN,72,19,1563,260,638,0.408,32,134,0.239,228,504,0.452,0.433,98,125,0.784,43,170,213,121,45,32,156,134,650
2002-2003,Chris Whitney\whitnch01,PG,31,TOT,51,21,1052,124,349,0.355,50,164,0.305,74,185,0.4,0.427,57,69,0.826,3,64,67,145,29,2,71,92,355
2002-2003,Chris Whitney\whitnch01,PG,31,DEN,29,20,762,94,261,0.36,43,128,0.336,51,133,0.383,0.443,46,57,0.807,1,45,46,124,17,1,55,77,277
2002-2003,Chris Whitney\whitnch01,PG,31,ORL,22,1,290,30,88,0.341,7,36,0.194,23,52,0.442,0.381,11,12,0.917,2,19,21,21,12,1,16,15,78
2002-2003,Chris Wilcox\wilcoch01,PF,20,LAC,46,3,479,73,140,0.521,0,0,,73,140,0.521,0.521,25,50,0.5,32,72,104,21,7,12,26,65,171
2002-2003,Mike Wilks\wilksmi01,PG-SG,23,TOT,46,7,688,50,148,0.338,10,35,0.286,40,113,0.354,0.372,37,47,0.787,20,51,71,92,27,4,28,69,147
2002-2003,Mike Wilks\wilksmi01,SG,23,ATL,15,7,364,29,81,0.358,6,17,0.353,23,64,0.359,0.395,21,29,0.724,9,32,41,42,16,1,16,38,85
2002-2003,Mike Wilks\wilksmi01,PG,23,MIN,31,0,324,21,67,0.313,4,18,0.222,17,49,0.347,0.343,16,18,0.889,11,19,30,50,11,3,12,31,62
2002-2003,Aaron Williams\williaa01,C,31,NJN,81,0,1597,199,439,0.453,0,1,0,199,438,0.454,0.453,102,130,0.785,137,194,331,88,27,57,85,206,500
2002-2003,Alvin Williams\willial02,PG,28,TOR,78,78,2638,396,905,0.438,48,146,0.329,348,759,0.458,0.464,187,239,0.782,55,190,245,416,111,21,128,170,1027
2002-2003,Brandon Williams\willibr01,SF,27,ATL,6,0,19,1,7,0.143,0,1,0,1,6,0.167,0.143,0,0,,2,0,2,0,2,0,3,4,2
2002-2003,Eric Williams\willier01,SF,30,BOS,82,79,2350,254,575,0.442,37,110,0.336,217,465,0.467,0.474,201,268,0.75,143,239,382,140,86,19,97,234,746
